0	0	25.24
253	0	25.30
506	0	25.26
759	0	25.25
1011	0	25.26
1264	0	25.19
1517	0	25.25
1770	0	25.24
2022	0	25.25
2275	0	25.26
2528	0	25.26
2781	0	25.26
3033	0	25.28
3285	0	25.30
3538	0	25.22
3791	0	25.27
4043	0	25.23
4296	0	25.25
4549	0	25.23
4802	0	25.27
5055	0	25.26
5307	0	25.27
5560	0	24.72
5813	0	25.26
6066	0	25.22
6318	0	25.24
6570	0	25.22
6823	0	25.24
7076	0	25.27
7328	0	25.26
7581	0	25.26
7834	0	25.28
8087	0	25.28
8339	0	25.04
8592	0	25.25
8845	0	25.30
9098	0	25.25
9351	0	25.26
9603	0	25.26
9855	0	25.22
10108	0	25.29
10361	0	25.30
10613	0	25.26
10866	0	24.86
11119	0	25.25
11372	0	25.23
11625	0	25.28
11877	0	25.24
12130	0	25.26
12383	0	25.25
12636	0	25.26
12889	0	25.26
13140	0	25.26
13393	0	25.26
13646	0	25.26
13899	0	25.28
14152	0	25.28
14405	0	25.27
14657	0	25.28
14910	0	25.28
15163	1	25.29
15416	1	25.31
15669	1	25.07
15921	1	25.28
16174	1	25.27
16426	1	25.26
16679	1	25.26
16932	1	25.28
17184	1	25.28
17437	1	25.29
17690	1	25.29
17943	1	25.27
18196	1	25.28
18448	1	25.30
18701	1	25.23
18954	1	25.22
19207	1	25.28
19460	1	25.31
19711	1	25.21
19964	1	25.28
20217	1	25.28
20470	1	25.29
20723	1	25.28
20975	1	25.28
21228	1	25.29
21481	1	25.26
21734	1	25.31
21987	1	25.31
22239	1	25.27
22492	1	25.28
22745	1	24.61
22997	1	25.28
23250	1	25.28
23503	1	25.29
23755	1	25.31
24008	1	25.29
24261	1	25.28
24514	1	25.31
24767	1	25.30
25019	1	25.29
25272	1	25.28
25525	1	25.24
25778	1	25.31
26031	1	25.25
26282	1	25.27
26535	1	25.28
26788	1	25.35
27041	1	25.31
27294	1	25.28
27546	1	25.31
27799	1	25.29
28052	1	25.28
28305	1	25.35
28558	1	25.31
28810	1	25.36
29063	1	25.31
29316	1	25.29
29568	1	25.33
29821	1	25.30
30074	1	25.32
30326	1	25.35
30579	1	25.36
30832	1	24.65
31085	1	25.37
31338	1	25.33
31590	1	25.35
31843	1	25.37
32096	1	25.33
32349	1	25.35
32602	1	25.39
32853	1	25.39
33106	1	25.37
33359	1	25.36
33612	1	25.40
33865	1	25.34
34117	1	25.39
34370	1	25.37
34623	1	25.35
34876	1	25.38
35129	1	25.39
35381	1	25.37
35634	1	25.39
35887	1	25.39
36140	1	25.37
36392	1	24.99
36645	1	25.40
36897	1	25.00
37150	1	25.39
37403	1	25.35
37656	1	25.35
37909	1	25.42
38161	1	25.42
38414	1	25.42
38667	1	25.43
38920	1	25.38
39173	1	25.37
39424	1	25.39
39677	1	25.41
39930	1	25.38
40183	1	25.43
40436	1	25.38
40688	1	25.37
40941	1	25.40
41194	1	25.41
41447	1	25.40
41700	1	25.37
41952	1	25.36
42205	1	25.40
42458	1	25.44
42711	1	25.28
42963	1	25.39
43215	1	25.46
43468	1	25.50
43721	1	25.42
43974	1	25.43
44227	1	25.46
44480	1	25.46
44732	1	25.47
44985	1	25.47
45238	1	25.44
45491	1	25.44
45744	1	25.49
45996	1	25.51
46248	1	25.48
46501	1	25.48
46754	1	25.48
47007	1	25.47
47259	1	25.46
47512	1	25.53
47765	1	25.49
48018	1	25.48
48271	1	25.50
48523	1	25.51
48776	1	25.50
49029	1	25.47
49282	1	25.47
49534	1	25.47
49786	1	25.51
50039	1	25.49
50292	1	25.49
50545	1	25.52
50798	1	25.50
51050	1	25.53
51303	1	25.48
51556	1	25.48
51809	1	25.55
52062	1	25.51
52314	1	25.50
52567	1	25.53
52819	1	25.53
53072	1	25.52
53325	1	25.57
53578	1	25.52
53830	1	25.53
54083	1	25.55
54336	1	25.57
54589	1	25.52
54842	1	25.55
55094	1	25.57
55347	1	25.56
55600	1	25.58
55853	1	25.55
56105	1	25.56
56357	1	25.55
56610	1	25.57
56863	1	25.57
57116	1	25.56
57369	1	25.58
57621	1	25.57
57874	1	25.57
58127	1	25.55
58380	1	25.58
58633	1	25.61
58885	1	25.59
59138	1	25.56
59390	1	25.57
59643	1	25.57
59896	1	25.56
60148	1	25.57
60401	1	25.60
60654	1	25.57
60907	1	25.58
61160	1	25.60
61413	1	25.59
61665	1	25.59
61918	1	25.60
62171	1	25.61
62424	1	25.62
62676	1	25.58
62928	1	25.60
63181	1	25.57
63434	1	25.62
63687	1	25.63
63940	1	25.59
64192	1	25.54
64445	1	24.77
64698	1	25.63
64951	1	25.68
65204	1	25.68
65456	1	25.64
65709	1	25.66
65961	1	25.68
66214	1	25.37
66467	1	25.66
66719	1	25.66
66972	1	25.64
67225	1	25.67
67478	1	25.68
67731	1	25.66
67984	1	25.24
68236	1	25.68
68489	1	25.70
68742	1	25.64
68995	1	25.70
69247	1	25.64
69499	1	25.70
69752	1	25.70
70005	1	25.70
70258	1	25.69
70511	1	25.70
70763	1	25.73
71016	1	25.68
71269	1	25.75
71522	1	25.70
71775	1	25.74
72027	1	25.73
72280	1	25.60
72532	1	25.69
72785	1	25.71
73038	1	25.71
73290	1	25.73
73543	1	25.71
73796	1	25.72
74049	1	25.73
74302	1	25.67
74554	1	25.81
74807	1	25.72
75060	0	25.72
75313	0	25.73
75566	0	25.73
75818	0	25.73
76070	0	25.73
76323	0	25.72
76576	0	25.75
76829	0	25.73
77082	0	25.71
77334	0	25.75
77587	0	25.76
77840	0	25.72
78093	0	25.77
78346	0	25.77
